Store,Dept,tier,store_profile,recommended_promo_intensity,best_lift_vs_zero,best_lift_pct_vs_zero,turning_promo_intensity,allocated,promo_cost,risk_flag,risk_level,action_note
10,5,B_holiday,Holiday_driven_store,13199.380000000025,157.57560919800744,0.0078747366292749,20960.03999999997,True,13199.380000000025,,0,可投放：处于边际空间区间，建议按推荐强度投放并监控销量/库存。
10,7,B_holiday,Holiday_driven_store,13199.380000000025,157.57560919800744,0.0078747366292749,20960.03999999997,True,13199.380000000025,,0,可投放：处于边际空间区间，建议按推荐强度投放并监控销量/库存。
10,14,B_holiday,Holiday_driven_store,13199.380000000025,157.57560919800744,0.0078747366292749,20960.03999999997,True,13199.380000000025,,0,可投放：处于边际空间区间，建议按推荐强度投放并监控销量/库存。
10,18,B_holiday,Holiday_driven_store,13199.380000000025,157.57560919800744,0.0078747366292749,20960.03999999997,True,13199.380000000025,,0,可投放：处于边际空间区间，建议按推荐强度投放并监控销量/库存。
10,22,B_holiday,Holiday_driven_store,13199.380000000025,157.57560919800744,0.0078747366292749,20960.03999999997,True,13199.380000000025,,0,可投放：处于边际空间区间，建议按推荐强度投放并监控销量/库存。
10,24,B_holiday,Holiday_driven_store,13199.380000000025,157.57560919800744,0.0078747366292749,20960.03999999997,True,13199.380000000025,,0,可投放：处于边际空间区间，建议按推荐强度投放并监控销量/库存。
10,32,B_holiday,Holiday_driven_store,13199.380000000025,157.57560919800744,0.0078747366292749,20960.03999999997,True,13199.380000000025,,0,可投放：处于边际空间区间，建议按推荐强度投放并监控销量/库存。
10,33,B_holiday,Holiday_driven_store,13199.380000000025,157.57560919800744,0.0078747366292749,20960.03999999997,True,13199.380000000025,,0,可投放：处于边际空间区间，建议按推荐强度投放并监控销量/库存。
10,48,B_holiday,Holiday_driven_store,13199.380000000025,157.57560919800744,0.0078747366292749,20960.03999999997,True,13199.380000000025,,0,可投放：处于边际空间区间，建议按推荐强度投放并监控销量/库存。
10,55,B_holiday,Holiday_driven_store,13199.380000000025,157.57560919800744,0.0078747366292749,20960.03999999997,True,13199.380000000025,,0,可投放：处于边际空间区间，建议按推荐强度投放并监控销量/库存。
10,71,B_holiday,Holiday_driven_store,13199.380000000025,157.57560919800744,0.0078747366292749,20960.03999999997,True,13199.380000000025,,0,可投放：处于边际空间区间，建议按推荐强度投放并监控销量/库存。
10,72,B_holiday,Holiday_driven_store,13199.380000000025,157.57560919800744,0.0078747366292749,20960.03999999997,True,13199.380000000025,,0,可投放：处于边际空间区间，建议按推荐强度投放并监控销量/库存。
10,74,B_holiday,Holiday_driven_store,13199.380000000025,157.57560919800744,0.0078747366292749,20960.03999999997,True,13199.380000000025,,0,可投放：处于边际空间区间，建议按推荐强度投放并监控销量/库存。
35,5,B_holiday,Holiday_driven_store,13199.380000000025,157.57560919800744,0.0078747366292749,20960.03999999997,True,13199.380000000025,,0,可投放：处于边际空间区间，建议按推荐强度投放并监控销量/库存。
35,7,B_holiday,Holiday_driven_store,13199.380000000025,157.57560919800744,0.0078747366292749,20960.03999999997,True,13199.380000000025,,0,可投放：处于边际空间区间，建议按推荐强度投放并监控销量/库存。
