Store,Dept,tier,store_profile,tier_store_profile,curve_group,base_pred_at_zero,best_lift_vs_zero,best_lift_pct_vs_zero,best_promo_intensity,turning_promo_intensity,recommended_promo_intensity,promo_cost,roi_lift_per_cost,allocated,budget_used_so_far,risk_flag
10,5,B_holiday,Holiday_driven_store,B_holiday@Holiday_driven_store,B_holiday@Holiday_driven_store,20004.08014140608,157.57560919800744,0.0078747366292749,13199.380000000025,20960.03999999997,13199.380000000025,13199.380000000025,0.011938106880626752,True,13199.380000000025,
10,7,B_holiday,Holiday_driven_store,B_holiday@Holiday_driven_store,B_holiday@Holiday_driven_store,20004.08014140608,157.57560919800744,0.0078747366292749,13199.380000000025,20960.03999999997,13199.380000000025,13199.380000000025,0.011938106880626752,True,26398.76000000005,
10,14,B_holiday,Holiday_driven_store,B_holiday@Holiday_driven_store,B_holiday@Holiday_driven_store,20004.08014140608,157.57560919800744,0.0078747366292749,13199.380000000025,20960.03999999997,13199.380000000025,13199.380000000025,0.011938106880626752,True,39598.14000000007,
10,18,B_holiday,Holiday_driven_store,B_holiday@Holiday_driven_store,B_holiday@Holiday_driven_store,20004.08014140608,157.57560919800744,0.0078747366292749,13199.380000000025,20960.03999999997,13199.380000000025,13199.380000000025,0.011938106880626752,True,52797.5200000001,
10,22,B_holiday,Holiday_driven_store,B_holiday@Holiday_driven_store,B_holiday@Holiday_driven_store,20004.08014140608,157.57560919800744,0.0078747366292749,13199.380000000025,20960.03999999997,13199.380000000025,13199.380000000025,0.011938106880626752,True,65996.90000000013,
10,24,B_holiday,Holiday_driven_store,B_holiday@Holiday_driven_store,B_holiday@Holiday_driven_store,20004.08014140608,157.57560919800744,0.0078747366292749,13199.380000000025,20960.03999999997,13199.380000000025,13199.380000000025,0.011938106880626752,True,79196.28000000014,
10,32,B_holiday,Holiday_driven_store,B_holiday@Holiday_driven_store,B_holiday@Holiday_driven_store,20004.08014140608,157.57560919800744,0.0078747366292749,13199.380000000025,20960.03999999997,13199.380000000025,13199.380000000025,0.011938106880626752,True,92395.66000000016,
10,33,B_holiday,Holiday_driven_store,B_holiday@Holiday_driven_store,B_holiday@Holiday_driven_store,20004.08014140608,157.57560919800744,0.0078747366292749,13199.380000000025,20960.03999999997,13199.380000000025,13199.380000000025,0.011938106880626752,True,105595.04000000018,
10,48,B_holiday,Holiday_driven_store,B_holiday@Holiday_driven_store,B_holiday@Holiday_driven_store,20004.08014140608,157.57560919800744,0.0078747366292749,13199.380000000025,20960.03999999997,13199.380000000025,13199.380000000025,0.011938106880626752,True,118794.4200000002,
10,55,B_holiday,Holiday_driven_store,B_holiday@Holiday_driven_store,B_holiday@Holiday_driven_store,20004.08014140608,157.57560919800744,0.0078747366292749,13199.380000000025,20960.03999999997,13199.380000000025,13199.380000000025,0.011938106880626752,True,131993.80000000022,
10,71,B_holiday,Holiday_driven_store,B_holiday@Holiday_driven_store,B_holiday@Holiday_driven_store,20004.08014140608,157.57560919800744,0.0078747366292749,13199.380000000025,20960.03999999997,13199.380000000025,13199.380000000025,0.011938106880626752,True,145193.18000000025,
10,72,B_holiday,Holiday_driven_store,B_holiday@Holiday_driven_store,B_holiday@Holiday_driven_store,20004.08014140608,157.57560919800744,0.0078747366292749,13199.380000000025,20960.03999999997,13199.380000000025,13199.380000000025,0.011938106880626752,True,158392.5600000003,
10,74,B_holiday,Holiday_driven_store,B_holiday@Holiday_driven_store,B_holiday@Holiday_driven_store,20004.08014140608,157.57560919800744,0.0078747366292749,13199.380000000025,20960.03999999997,13199.380000000025,13199.380000000025,0.011938106880626752,True,171591.94000000032,
